,Page,Country,ORES_predicted_class,Region,Region Population mid-2018 (millions),Population mid-2018 (millions)
11707,Elvira Pola Figueroa,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11708,Emilia Gómez Bravo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11709,Emilse Miranda Munive,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11710,Emma Larios Gaxiola,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11711,Enoé Uranga,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11712,Erika Funes Velázquez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11713,Erika Galván Rivas,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11714,Erika Larregui Nagel,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11715,Erika Spezia Maldonado,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11716,Eréndira Cova Brindis,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11717,Esmeralda Cárdenas Sánchez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11718,Esthela Ponce Beltrán,Mexico,Start,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11719,Esther Angélica Martínez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11720,Esther Quintana Salinas,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11721,Esveida Bravo Martínez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11722,Eva Contreras Sandoval,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11723,Eva Diego Cruz,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11724,Fany Pérez Gutiérrez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11725,Filomena Margaiz,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11726,Flor Ayala,Mexico,C,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11727,Flor Añorve Ocampo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11728,Flor Pedraza Aguilera,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11729,Florentina Ocegueda,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11730,Florentina Rosario Morales,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11731,Francisca Elena Corrales,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11732,Frida Rosas Peralta,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11733,Fátima Gómez Montero,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11734,Gabriela Medrano Galindo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11735,Gabriela Ortiz Martínez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11736,Gabriela Ruiz del Rincón,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11737,Georgina Trujillo Zentella,Mexico,Start,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11738,Georgina Zapata Lucero,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11739,Geraldine Ramírez Zollino,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11740,Gerd Janne Kristoffersen,Norway,Stub,EUROPE,746,5.3
11741,Gloria Bautista Cuevas,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11742,Gloria Elizabeth Núñez Sánchez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11743,Gloria Lavara,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11744,Gloria Luna Ruiz,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11745,Gloria María Perroni,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11746,Gloria Porras Valles,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11747,Gloria Rasgado Corsi,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11748,Gloria Romero León,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11749,Gloria Valenzuela García,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11750,Graciela Larios Rivas,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11751,Graciela Saldaña Fraire,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11752,Guadalupe Flores Salazar,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11753,Guadalupe García Almanza,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11754,Guadalupe García Noriega,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11755,Guadalupe Mondragón Cobos,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11756,Guadalupe Ortega Pacheco,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11757,Guadalupe Pérez Domínguez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11758,Guadalupe Silerio,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11759,Guadalupe Valenzuela Cabrales,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11760,Guillermina Casique Vences,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11761,Guillermina López Balbuena,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11762,Hazel Suárez Bastida,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11763,Heidi Larssen,Norway,Stub,EUROPE,746,5.3
11764,Heidi Sørensen,Norway,Start,EUROPE,746,5.3
11765,Hilda Anderson Nevárez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11766,Hilda Ceballos,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11767,Hilda Narváez Bravo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11768,Hilde Magnusson Lydvo,Norway,Stub,EUROPE,746,5.3
11769,Holly Matus Toledo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11770,Hortencia Enríquez Ortega,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
