,Page,Country,ORES_predicted_class,Region,Region Population mid-2018 (millions),Population mid-2018 (millions)
11914,María Elena Torres Baltazar,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11915,María Elena Zamora,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11916,María Elena Álvarez Bernal,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11917,María Elia Cabañas,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11918,María Esperanza Morelos Borja,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11919,María Estela de la Fuente,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11920,María Ester Alonzo Morales,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11921,María Esther Jiménez Ramos,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11922,María Esther Terán Velázquez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11923,María Eugenia Jiménez Valenzuela,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11924,María Fernanda Romero Lozano,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11925,María Fernanda Schroeder,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11926,María Fernández Ugarte,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11927,María Gabriela Banda,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11928,María Gabriela González Martínez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11929,María García Olmedo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11930,María García Quiroz,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11931,María García Romero,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11932,María González Alvarado,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11933,María Guadalupe Moctezuma,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11934,María Guadalupe Mondragón,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11935,María Guadalupe Romero Castillo,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11936,María Guadalupe Salazar,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11937,María Guadalupe Sánchez Santiago,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11938,María Guadalupe Velázquez Díaz,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11939,María Guzmán Lozano,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11940,María Gómez Villalovos,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11941,María Hilaria Domínguez,Mexico,Stub,LATIN AMERICA AND THE CARIBBEAN,649,130.8
11942,María Isabel Maya Pineda,Mexico,Start,LATIN AMERICA AND THE CARIBBEAN,649,130.8
