,page,country,rev_id
443,"List of members of the National Assembly (South Korea), 1950–54",South Korean,663348266
444,Mufti Abdullah,Pakistan,663572469
445,William Matthew Harries,South Africa,663617582
446,Maanu Paul,New Zealand,663783398
447,County governor (Lithuania),Lithuania,663880497
449,Burhan Muhammad,Indonesia,664532059
450,Martim Afonso de Brito,Portugal,664669156
451,Gonghe Regency,China,664787336
452,Irshadali Sumra,Kenya,664793790
453,Koufu,China,664814622
454,Political families of Odisha,India,664822251
456,Firmin Aerts,Belgium,666029819
457,James Cotterell Hoole,Cape Colony,666596918
458,Philip Johannes Andries Watermeyer,South Africa,666610075
459,Ioan Rus,Romania,666752677
465,Pieter Adrianus Ossewaarde,Netherlands,667194771
466,Christoffel van Swoll,Netherlands,667198201
467,National Foundation for Women Legislators,United States,667815878
468,Les Scheininger,Canada,667821864
469,Patrick Canning,Canada,667873261
470,Kalina Krumova,Bulgaria,667906849
471,Pierre Chatenet,France,668091068
472,Henry Soum,Monaco,668095014
473,Brij Bhushan Mehra,India,668258382
474,Aurelian Pavelescu,Romania,668449610
480,Madut Kon Awan,South Sudan,668830946
497,Taieb Ghafes,Morocco,669266906
498,Teodor Andrault de Langeron,Poland,669301445
499,Harry Davies (politician),Rhodesian,669387487
500,Ghassan Ashqar,Lebanon,669444168
501,Magnús Orri Schram,Iceland,669565720
502,Wusu Sannoh,Sierra Leone,669571173
503,Kuri II of Kanem,Chad,669719757
504,Laroussi Mizouri,Tunisia,669831602
505,Hashid Abdullah al-Ahmar,Yemen,669833212
506,Erkin Alymbekov,Kyrgyzstan,669833349
507,Angelo Staniscia,Italy,669835390
508,Malik Adnan Hayat Noon,Pakistan,669841183
509,Samou Seidou Adambi,Benin,669855022
510,Porfirio Smerdou,Mexico,669862709
511,Lise Nordin,Sweden,669869895
512,Fletcher Dulini,Zimbabwe,669981316
513,Krzysztof Abrahamowicz,Poland,669985109
514,Dilaver Bey,Turkey,669987106
515,Horace Mann Thu-Jaune,Madagascar,670134982
516,Patrick Goold,Cape Colony,670210734
517,Murad Quenili,Afghanistan,670462475
519,Bir II of Kanem,Chad,670893206
520,Gerald Hill (politician),Canada,670917017
521,List of Presidents of Alsace,France,670960027
522,John R. O'Dea,Canada,670971940
523,Annaberdi Kakabaýew,Turkmenistan,671016281
524,Salim Yahya al-Kharega,Yemen,671023940
525,Faida Mohamed Bakar,Tanzania,671029717
526,Hosea Kiplagat,Kenya,671032132
527,Michael D. Lett,Grenada,671047987
528,Than Sina,Cambodia,671073599
529,Samuel J. Hefferton,Canada,671122320
530,Armen Rustamyan,Armenia,671189093
531,Abdulahi Ahmed Afrah,Somalia,671338098
532,Ólafur Garðar Einarsson,Iceland,671338216
533,Badar,Afghanistan,671455150
534,Dušan Švantner,Slovakia,671461616
535,Óli Þorbjörn Guðbjartsson,Iceland,671462644
536,Mohammed Qalamuddin,Afghanistan,671473289
537,Patrick Bourson,France,671475479
538,Lininy,Madagascar,671483959
539,Bharat Saud,Nepal,671484594
540,Azeez Issa Adesiji,Nigeria,671511760
541,Toluono Feti,Samoan,671515606
542,Ali al-Bahadili,Iraq,671516033
543,Valerian Revenco,Moldova,671637265
544,Presidential Palace Historical Site,Vietnam,671868722
545,Viktor Antonov,Russia,671890885
546,Elsa Malpartida,Peru,671891037
547,Rasoanaivo,Madagascar,671895550
548,Sadio Lamine Sow,Mali,671897239
549,Narayan Sharma Paudel,Nepal,671903264
550,Mataʻiʻulua ‘i Fonuamotu,Tonga,672119030
551,San Tun,Myanmar,672156082
552,Masahiro Futahashi,Japan,672284154
553,Yannis Moralis (politician),Greece,672515581
554,Macarena Escudero,Argentina,672547562
555,André Boulloche,France,672709444
556,Miroslav Poche,Czech Republic,672862914
557,Vojtěch Mynář,Czech Republic,673008587
558,Norma Colpari,Argentina,673393730
560,Roosevelt Jayjay,Liberia,674487383
561,Joshua Nii Laryea Afotey-Agbo,Ghana,674576443
562,Military Committee of the Congolese Party of Labour,Congo,674702694
563,Speaker of the Legislative Assembly of Montserrat,Montserratian,674919905
564,Ahmad bin Eid al-Thani,Qatar,675271208
565,Liga Federal,Uruguay,675303236
566,George Samuel Ranglin,Jamaica,675376529
567,Rubén Pellanda,Argentina,676040670
568,Raúl Lacabanne,Argentina,676043559
569,Juan Carlos Reyes (governor),Argentina,676044272
570,Bernardo Bas,Argentina,676498385
571,Alexander Dunphy,Canada,676610041
572,Gordon Dawe,Canada,676612108
573,Bijai Prasad,Fiji,676661990
574,Barton Scotland,Guyana,676691070
575,Paul Thoms,Canada,676732644
576,Frederick B. Rowe,Canada,676734572
577,Allan Evans (politician),Canada,676782180
578,Andries Botha,Cape Colony,676828191
579,Asesela Sadole,Fiji,676841743
580,Luke Woodrow,Canada,676947124
581,William G. Patterson,Canada,677094551
582,Simeon Bouro,Solomon Islands,677317570
583,Salisu Buhari,Nigeria,677435096
585,Hou Zongbin,China,677516121
586,Jorge Zavala,Ecuador,677523953
587,Harry Quaderer,Liechtenstein,677568976
588,Freeman White (politician),Canada,677724847
589,Leneuoti Matusi,Tuvalu,677747943
590,Second Toafa Ministry,Tuvalu,677750304
591,William J. MacNeil,Canada,677769770
592,Miguel Cané,Argentina,677786528
593,Gabriel Antonio Pereira,Uruguay,677974642
594,Wilhelm Wallbaum,Germany,678140107
595,List of São Toméan politicians,Sao Tome and Principe,678440540
596,Larbi Messari,Morocco,678532348
597,Sergey Zorin,Russia,678595657
598,Fakhrul Islam,Pakistan,678638092
600,Cora Amalia Castilla,Mexico,678721991
601,Victor Macky,New Zealand,679247120
602,Joaquín Escolán y Balibrera,Salvadoran,679294949
603,Mohamed Mohamud Hayd,Somalia,679509452
604,Sergey Kalyakin,Belarus,679547012
605,List of Slovenian politicians,Slovenia,679559247
606,Mateo Vidal,Uruguay,679591301
607,John Collins (Canadian politician),Canada,679623758
608,Osea Gavidi,Fiji,679873929
609,Cui Yuying,China,680016822
610,Abdul Rahim Ishak,Singapore,680036029
611,Gumercinda Páez,Panama,680071857
612,Des Dalton,Ireland,680161213
613,Claude Pivi,Guinea,680174895
614,Charles William Hutton,Cape Colony,680205631
615,Bernardo Grinspun,Argentina,680370867
616,Chairman of the Island Council (Pitcairn),Pitcairn Islands,680532939
617,Michael Konelios,Marshall Islands,680614363
618,Malik Khuda Buksh Tiwana,Pakistan,680618398
619,Barry Hynes,Canada,680618797
620,"Domonkos II, Archbishop of Esztergom",Hungary,680629551
621,Veríssimo Aguiar Cabral,Portugal,680680191
622,Federico Policani,Panama,680722683
623,Alexander Barybin,Russia,680886613
624,Hossam Arafat (politician),Palestinian Territory,680933208
625,Book:Australian Prime Ministers,Australia,680981536
626,Laura Alvarez,United Kingdom,681177706
628,Mirosław Czech,Poland,681605695
629,Poli Karastoyanova,Bulgaria,682145001
630,Actisanes,Ethiopia,682149007
631,Azhar Cachalia,South Africa,682166816
632,William Fairbridge,Rhodesian,682576258
633,Simona-Alice Man,Romania,682928660
634,Jerônima Mesquita,Brazil,683020488
636,Jose Solis,Philippines,683282915
637,Viriato Fiallo,Dominican Republic,683417360
639,Rodolfo Gabrielli,Argentina,683631802
640,Eli Wong,Malaysia,683715284
641,Horácio de Matos,Brazil,683946857
643,Robert Sych,Poland,684023803
644,Marek Krzysztof Jeleniewski,Poland,684023859
645,Brendan Howard,Canada,684050793
646,Benigno Andrade Flores,Ecuador,684060626
647,Yury Zaostrovtsev,Russia,684179656
648,Patrick Mutono,Uganda,684295893
649,Giuseppe Fenaroli Avogadro,Italy,684464777
650,Afonso Pedro Canga,Angola,684499128
